2015-10-11 23:29 CRITICAL task          Local-Torrents-TV BUG: Unhandled error in plugin include: while scanning for the next token\nfound character '\t' that cannot start any token\n  in "c:\Users\sysfs\flexget\New Config File Flexget\series-following.yml", line 47, column 1
2015-10-11 23:29 CRITICAL manager       Local-Torrents-TV An unexpected crash has occurred. Writing crash report to c:\Users\sysfs\flexget\New Config File Flexget\crash_report.2015.10.11.232901804000.log
2015-10-11 23:29 WARNING  task          Local-Torrents-TV Aborting task (plugin: include)
2015-10-11 23:29 INFO     download      Local-Torrents-Movies Downloading: NCIS+Season+1-9+Complete+HDTV (1)
2015-10-11 23:29 ERROR    entry         Local-Torrents-Movies Failed NCIS+Season+1-9+Complete+HDTV (1) (File c:\users\sysfs\appdata\local\temp\tmp7ytazj\993954a232b3b9b22e1a927305042b62 is 0 bytes in size)
2015-10-11 23:29 INFO     download      Local-Torrents-Movies Downloading: NCIS+Season+1-9+Complete+HDTV
2015-10-11 23:29 ERROR    entry         Local-Torrents-Movies Failed NCIS+Season+1-9+Complete+HDTV (File c:\users\sysfs\appdata\local\temp\tmp3fiibc\a4a3eb3382bcb8667b7bf0c94e2a913a is 0 bytes in size)
2015-10-11 23:29 INFO     download      Local-Torrents-Movies Downloading: NCIS.S11.720p.HDTV.X264-DIMENSION-No.Rars
2015-10-11 23:29 INFO     download      Local-Torrents-Movies Downloading: Scorpion.-.Season.01 (1)
2015-10-11 23:29 INFO     download      Local-Torrents-Movies Downloading: Scorpion.-.Season.01
2015-10-11 23:29 INFO     download      Local-Torrents-Movies Downloading: Season+12
2015-10-11 23:29 INFO     download      Local-Torrents-Movies Downloading: Season.5
2015-10-11 23:29 INFO     download      Local-Torrents-Movies Downloading: The+Following+Season+3+HDTV.XviD%5BPawulon%5D
2015-10-11 23:29 ERROR    requests      Local-Torrents-Movies Error getting file:///c:\users\sysfs\downloads\The+Following+Season+3+HDTV.XviD%5BPawulon%5D.torrent: <urlopen error [Error 2] The system cannot find the file specified: u'C:\\\\users\\sysfs\\downloads\\The+Following+Season+3+HDTV.XviD[Pawulon].torrent'>
2015-10-11 23:29 WARNING  download      Local-Torrents-Movies RequestException Error getting file:///c:\users\sysfs\downloads\The+Following+Season+3+HDTV.XviD%5BPawulon%5D.torrent: <urlopen error [Error 2] The system cannot find the file specified: u'C:\\\\users\\sysfs\\downloads\\The+Following+Season+3+HDTV.XviD[Pawulon].torrent'>, while downloading file:///c:\users\sysfs\downloads\The+Following+Season+3+HDTV.XviD%5BPawulon%5D.torrent
2015-10-11 23:29 ERROR    entry         Local-Torrents-Movies Failed The+Following+Season+3+HDTV.XviD%5BPawulon%5D (Network error during request: Error getting file:///c:\users\sysfs\downloads\The+Following+Season+3+HDTV.XviD%5BPawulon%5D.torrent: <urlopen error [Error 2] The system cannot find the file specified: u'C:\\\\users\\sysfs\\downloads\\The+Following+Season+3+HDTV.XviD[Pawulon].torrent'>)
2015-10-11 23:29 INFO     download      Local-Torrents-Movies Downloading: [kickass.to]transformers.age.of.extinction.2014.new.source.hdts.x264.ac3.titan
2015-10-11 23:29 INFO     download      Local-Torrents-Movies Downloading: [limetorrents.cc]NCIS.Season.1-9.Complete.HDTV
2015-10-11 23:29 INFO     deluge        Local-Torrents-Movies Connecting to daemon at localhost:58846..
2015-10-11 23:29 INFO     deluge        Local-Torrents-Movies Connected to daemon at 127.0.0.1:58846..
2015-10-11 23:29 INFO     deluge        Local-Torrents-Movies NCIS.S11.720p.HDTV.X264-DIMENSION-No.Rars is already loaded in deluge, setting options
2015-10-11 23:29 INFO     deluge        Local-Torrents-Movies NCIS.S11.720p.HDTV.X264-DIMENSION-No.Rars successfully added to deluge.
2015-10-11 23:29 INFO     deluge        Local-Torrents-Movies Scorpion.-.Season.01 (1) is already loaded in deluge, setting options
2015-10-11 23:29 INFO     deluge        Local-Torrents-Movies Scorpion.-.Season.01 (1) successfully added to deluge.
2015-10-11 23:29 INFO     deluge        Local-Torrents-Movies Scorpion.-.Season.01 is already loaded in deluge, setting options
2015-10-11 23:29 INFO     deluge        Local-Torrents-Movies Scorpion.-.Season.01 successfully added to deluge.
2015-10-11 23:29 INFO     deluge        Local-Torrents-Movies Season+12 is already loaded in deluge, setting options
2015-10-11 23:29 INFO     deluge        Local-Torrents-Movies Season+12 successfully added to deluge.
2015-10-11 23:29 INFO     deluge        Local-Torrents-Movies Season.5 is already loaded in deluge, setting options
2015-10-11 23:29 INFO     deluge        Local-Torrents-Movies Season.5 successfully added to deluge.
2015-10-11 23:29 INFO     deluge        Local-Torrents-Movies [kickass.to]transformers.age.of.extinction.2014.new.source.hdts.x264.ac3.titan is already loaded in deluge, setting options
2015-10-11 23:29 INFO     deluge        Local-Torrents-Movies [kickass.to]transformers.age.of.extinction.2014.new.source.hdts.x264.ac3.titan successfully added to deluge.
2015-10-11 23:29 INFO     deluge        Local-Torrents-Movies [limetorrents.cc]NCIS.Season.1-9.Complete.HDTV is already loaded in deluge, setting options
2015-10-11 23:29 INFO     deluge        Local-Torrents-Movies [limetorrents.cc]NCIS.Season.1-9.Complete.HDTV successfully added to deluge.
2015-10-11 23:29 WARNING  deluge        Local-Torrents-Movies No files in "NCIS.S11.720p.HDTV.X264-DIMENSION-No.Rars" are > 90% of content size, no files renamed.
2015-10-11 23:29 WARNING  deluge        Local-Torrents-Movies No files in "[limetorrents.cc]NCIS.Season.1-9.Complete.HDTV" are > 90% of content size, no files renamed.
2015-10-11 23:29 WARNING  deluge        Local-Torrents-Movies No files in "Season.5" are > 90% of content size, no files renamed.
2015-10-11 23:29 WARNING  deluge        Local-Torrents-Movies No files in "Season+12" are > 90% of content size, no files renamed.
2015-10-11 23:29 WARNING  deluge        Local-Torrents-Movies No files in "Scorpion.-.Season.01 (1)" are > 90% of content size, no files renamed.
2015-10-11 23:29 WARNING  deluge        Local-Torrents-Movies No files in "Scorpion.-.Season.01" are > 90% of content size, no files renamed.
2015-10-11 23:29 INFO     deluge        Local-Torrents-Movies Connection lost to daemon at localhost:58846 reason: Connection was closed cleanly.
2015-10-11 23:29 WARNING  movie_queue   Local-Torrents-Movies Could not determine a movie id for NCIS.S11.720p.HDTV.X264-DIMENSION-No.Rars, it will not be added to queue.
2015-10-11 23:29 WARNING  movie_queue   Local-Torrents-Movies Could not determine a movie id for Scorpion.-.Season.01 (1), it will not be added to queue.
2015-10-11 23:29 WARNING  movie_queue   Local-Torrents-Movies Could not determine a movie id for Scorpion.-.Season.01, it will not be added to queue.
2015-10-11 23:29 WARNING  movie_queue   Local-Torrents-Movies Could not determine a movie id for [limetorrents.cc]NCIS.Season.1-9.Complete.HDTV, it will not be added to queue.
2015-10-11 23:29 INFO     exec          Local-Torrents-Movies Stdout: 'rm' is not recognized as an internal or external command,\noperable program or batch file.\n
2015-10-11 23:29 INFO     exec          Local-Torrents-Movies Stdout: 'rm' is not recognized as an internal or external command,\noperable program or batch file.\n
2015-10-11 23:29 INFO     exec          Local-Torrents-Movies Stdout: 'rm' is not recognized as an internal or external command,\noperable program or batch file.\n
2015-10-11 23:29 INFO     exec          Local-Torrents-Movies Stdout: 'rm' is not recognized as an internal or external command,\noperable program or batch file.\n
2015-10-11 23:29 INFO     exec          Local-Torrents-Movies Stdout: 'rm' is not recognized as an internal or external command,\noperable program or batch file.\n
2015-10-11 23:29 INFO     exec          Local-Torrents-Movies Stdout: 'rm' is not recognized as an internal or external command,\noperable program or batch file.\n
2015-10-11 23:29 INFO     exec          Local-Torrents-Movies Stdout: 'rm' is not recognized as an internal or external command,\noperable program or batch file.\n
2015-10-11 23:29 INFO     trakt_remove  Local-Torrents-Movies Data successfully sent to trakt.tv
2015-10-11 23:29 INFO     trakt_add     Local-Torrents-Movies Data successfully sent to trakt.tv
2015-10-11 23:29 VERBOSE  archive       My-TV-Shows-Find-Missing Added 940 new entries to archive
2015-10-11 23:29 INFO     task          My-TV-Shows-Find-Missing Rerunning the task in case better resolution can be achieved.
2015-10-11 23:29 VERBOSE  discover      My-TV-Shows-Find-Missing Ignored duplicate title `Minority Report S01E03`
2015-10-11 23:29 VERBOSE  discover      My-TV-Shows-Find-Missing Ignored duplicate title `The Walking Dead S01E03`
2015-10-11 23:29 VERBOSE  discover      My-TV-Shows-Find-Missing Ignored duplicate title `Supernatural S11E02`
2015-10-11 23:29 VERBOSE  discover      My-TV-Shows-Find-Missing Ignored duplicate title `Pretty Little Liars S05E02`
2015-10-11 23:29 VERBOSE  discover      My-TV-Shows-Find-Missing Ignored duplicate title `Under the Dome S01E03`
2015-10-11 23:29 VERBOSE  discover      My-TV-Shows-Find-Missing Ignored duplicate title `The Following S01E03`
2015-10-11 23:29 VERBOSE  discover      My-TV-Shows-Find-Missing Ignored duplicate title `The 100 S01E03`
2015-10-11 23:29 VERBOSE  discover      My-TV-Shows-Find-Missing Ignored duplicate title `Parks and Recreation S05E02`
2015-10-11 23:29 VERBOSE  discover      My-TV-Shows-Find-Missing Ignored duplicate title `House S01E03`
2015-10-11 23:29 VERBOSE  discover      My-TV-Shows-Find-Missing Ignored duplicate title `Fringe S01E03`
2015-10-11 23:29 VERBOSE  discover      My-TV-Shows-Find-Missing Ignored duplicate title `Bones S08E02`
2015-10-11 23:29 VERBOSE  discover      My-TV-Shows-Find-Missing Discovering 15 titles ...
2015-10-11 23:29 VERBOSE  discover      My-TV-Shows-Find-Missing Discover interval of 5 hours not met for 1 entries. Use --discover-now to override.
2015-10-11 23:32 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Once Upon a Time S06E01` with plugin `filler` (1 of 14)
2015-10-11 23:32 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Once Upon a Time S06E01` with plugin `flexget_archive` (1 of 14)
2015-10-11 23:32 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Once Upon a Time S06E01` with plugin `torrentz` (1 of 14)
2015-10-11 23:32 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Once Upon a Time S06E01` with plugin `kat` (1 of 14)
2015-10-11 23:32 VERBOSE  discover      My-TV-Shows-Find-Missing No search results for `Once Upon a Time S06E01`
2015-10-11 23:32 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Bones S12E01` with plugin `filler` (2 of 14)
2015-10-11 23:32 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Bones S12E01` with plugin `flexget_archive` (2 of 14)
2015-10-11 23:32 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Bones S12E01` with plugin `torrentz` (2 of 14)
2015-10-11 23:32 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Bones S12E01` with plugin `kat` (2 of 14)
2015-10-11 23:32 VERBOSE  discover      My-TV-Shows-Find-Missing No search results for `Bones S12E01`
2015-10-11 23:32 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Supernatural S11E02` with plugin `filler` (3 of 14)
2015-10-11 23:32 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Supernatural S11E02` with plugin `flexget_archive` (3 of 14)
2015-10-11 23:32 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Supernatural S11E02` with plugin `torrentz` (3 of 14)
2015-10-11 23:33 CRITICAL task          My-TV-Shows     BUG: Unhandled error in plugin include: while scanning for the next token\nfound character '\t' that cannot start any token\n  in "c:\Users\sysfs\flexget\New Config File Flexget\series-following.yml", line 47, column 1
2015-10-11 23:33 CRITICAL manager       My-TV-Shows     An unexpected crash has occurred. Writing crash report to c:\Users\sysfs\flexget\New Config File Flexget\crash_report.2015.10.11.233300707000.log
2015-10-11 23:33 WARNING  task          My-TV-Shows     Aborting task (plugin: include)
2015-10-11 23:33 WARNING  configure_series Series-Premieres-Track Input listdir did not return anything
2015-10-11 23:33 INFO     configure_series Series-Premieres-Track Did not get any series to generate series configuration
2015-10-11 23:33 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Supernatural S11E02` with plugin `kat` (3 of 14)
2015-10-11 23:33 VERBOSE  discover      My-TV-Shows-Find-Missing No search results for `Supernatural S11E02`
2015-10-11 23:33 INFO     task          My-TV-Shows-Find-Missing Plugin discover has requested task to be ran again after execution has completed.
2015-10-11 23:33 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `The Walking Dead S01E03` with plugin `filler` (4 of 14)
2015-10-11 23:33 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `The Walking Dead S01E03` with plugin `flexget_archive` (4 of 14)
2015-10-11 23:33 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `The Walking Dead S01E03` with plugin `torrentz` (4 of 14)
2015-10-11 23:33 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `The Walking Dead S01E03` with plugin `kat` (4 of 14)
2015-10-11 23:33 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Minority Report S01E03` with plugin `filler` (5 of 14)
2015-10-11 23:33 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Minority Report S01E03` with plugin `flexget_archive` (5 of 14)
2015-10-11 23:33 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Minority Report S01E03` with plugin `torrentz` (5 of 14)
2015-10-11 23:33 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Minority Report S01E03` with plugin `kat` (5 of 14)
2015-10-11 23:33 WARNING  kat           My-TV-Shows-Find-Missing Search resulted in: ('Connection aborted.', BadStatusLine("''",))
2015-10-11 23:33 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Extant S01E03` with plugin `filler` (6 of 14)
2015-10-11 23:33 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Extant S01E03` with plugin `flexget_archive` (6 of 14)
2015-10-11 23:33 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Extant S01E03` with plugin `torrentz` (6 of 14)
2015-10-11 23:34 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Extant S01E03` with plugin `kat` (6 of 14)
2015-10-11 23:34 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Pretty Little Liars S05E02` with plugin `filler` (7 of 14)
2015-10-11 23:34 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Pretty Little Liars S05E02` with plugin `flexget_archive` (7 of 14)
2015-10-11 23:34 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Pretty Little Liars S05E02` with plugin `torrentz` (7 of 14)
2015-10-11 23:34 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Pretty Little Liars S05E02` with plugin `kat` (7 of 14)
2015-10-11 23:34 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `The Following S01E03` with plugin `filler` (8 of 14)
2015-10-11 23:34 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `The Following S01E03` with plugin `flexget_archive` (8 of 14)
2015-10-11 23:34 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `The Following S01E03` with plugin `torrentz` (8 of 14)
2015-10-11 23:34 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `The Following S01E03` with plugin `kat` (8 of 14)
2015-10-11 23:34 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Parks and Recreation S05E02` with plugin `filler` (9 of 14)
2015-10-11 23:34 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Parks and Recreation S05E02` with plugin `flexget_archive` (9 of 14)
2015-10-11 23:34 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Parks and Recreation S05E02` with plugin `torrentz` (9 of 14)
2015-10-11 23:35 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Parks and Recreation S05E02` with plugin `kat` (9 of 14)
2015-10-11 23:35 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Under the Dome S01E03` with plugin `filler` (10 of 14)
2015-10-11 23:35 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Under the Dome S01E03` with plugin `flexget_archive` (10 of 14)
2015-10-11 23:35 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Under the Dome S01E03` with plugin `torrentz` (10 of 14)
2015-10-11 23:35 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `Under the Dome S01E03` with plugin `kat` (10 of 14)
2015-10-11 23:35 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `The 100 S01E03` with plugin `filler` (11 of 14)
2015-10-11 23:35 VERBOSE  discover      My-TV-Shows-Find-Missing Searching for `The 100 S01E03` with plugin `flexget_archive` (11 of 14)
